"Nimi" "Tyyppi" "Tyyppikd" "Sisalto" "Sisälto_tarkenne" "Tyyppi_lkm" "__"
"71" "Rebecca Kindstedt" "Maalintekijä" "Maalintekijä5" "Diani Kadidiatou" "Ranska" NA NA
"72" "Rebecca Kindstedt" "Maalintekijä" "Maalintekijä6" "Megan Rapinoe" "Usa" NA NA
"73" "Petteri Salo" "TopScorer" "TS" "Alex Morgan" "USA" NA NA
"74" "Petteri Salo" "Mestari" "M" "USA" NA NA NA
"75" "Petteri Salo" "Välierämaa" "Välierämaa1" "USA" NA NA NA
"76" "Petteri Salo" "Välierämaa" "Välierämaa2" "Englanti" NA NA NA
"77" "Petteri Salo" "Välierämaa" "Välierämaa3" "Espanja" NA NA NA
"78" "Petteri Salo" "Välierämaa" "Välierämaa4" "Saksa" NA NA NA
"79" "Petteri Salo" "Maalintekijä" "Maalintekijä1" "Alba Redondo" "Espanja" NA NA
"80" "Petteri Salo" "Maalintekijä" "Maalintekijä2" "Trinity Rodman" "USA" NA NA
"81" "Petteri Salo" "Maalintekijä" "Maalintekijä3" "Alex Morgan" "USA" NA NA
"82" "Petteri Salo" "Maalintekijä" "Maalintekijä4" "Sophia Smith" "USA" NA NA
"83" "Petteri Salo" "Maalintekijä" "Maalintekijä5" "Sam Kerr" "Australia" NA NA
"84" "Petteri Salo" "Maalintekijä" "Maalintekijä6" "Stina Blackstenius" "Ruotsi" NA NA
"85" "Seppo" "TopScorer" "TS" "Alex Putellas" "Esp" NA NA
"86" "Seppo" "Mestari" "M" "USA" NA NA NA
"87" "Seppo" "Välierämaa" "Välierämaa1" "USA" NA NA NA
"88" "Seppo" "Välierämaa" "Välierämaa2" "Saksa" NA NA NA
"89" "Seppo" "Välierämaa" "Välierämaa3" "Englanti" NA NA NA
"90" "Seppo" "Välierämaa" "Välierämaa4" "Espanja" NA NA NA
"91" "Seppo" "Maalintekijä" "Maalintekijä1" "Guro Reiten" "Norja" NA NA
"92" "Seppo" "Maalintekijä" "Maalintekijä2" "Sam Kerr" "Aus" NA NA
"93" "Seppo" "Maalintekijä" "Maalintekijä3" "Ashley Lawrence" "Can" NA NA
"94" "Seppo" "Maalintekijä" "Maalintekijä4" "Alisha Lehmann" "Sui" NA NA
"95" "Seppo" "Maalintekijä" "Maalintekijä5" "Alexia Putellas" "Spa" NA NA
"96" "Seppo" "Maalintekijä" "Maalintekijä6" "Sophia Smith" "USA" NA NA
